ly,llabor,lfeed,lcattle,lland,comp
13.07145,8.076204,12.41647,3.480317,5.231109,6.6042643
12.79683,7.798934,12.12358,3.18387,5.123964,7.5991923
13.35127,8.216899,12.21651,3.563316,5.799093,5.1636399
13.11463,8.102283,12.28408,3.278276,5.214936,6.3721221
12.20024,7.901007,11.12525,2.393339,4.448516,6.8978459
12.77144,8.118505,12.24643,3.265759,5.043425,6.2350929
12.62674,8.1934,11.58627,2.964242,4.795791,5.3329919
12.13314,7.725771,11.22105,2.266958,4.75359,6.6901641
11.94866,7.921898,11.21337,2.175887,4.672829,5.5876279
11.50819,7.60589,10.77805,1.958685,4.406719,12.332364
12.14737,7.928766,11.45166,2.674838,4.543295,6.1329792
12.48049,7.897296,11.57538,2.651833,4.890349,6.5707486
12.535,7.856707,11.69601,2.92047,5.529429,8.0552983
12.58454,8.517793,11.72756,2.606387,4.828314,5.3202131
11.74842,8.111928,10.71819,1.950187,4.532599,8.8529626
12.29666,7.452403,11.31282,2.670694,4.672829,5.6530336
11.7267,7.729735,10.78629,2.018895,4.219508,7.9003618
13.03413,8.24144,12.03848,3.292498,5.187386,6.5465579
12.95653,7.97074,12.12224,3.347797,5.313206,8.493492
11.86906,7.63868,10.76149,2.029463,4.127134,5.2522708
12.71068,7.82963,12.06281,3.135059,5.187386,5.912118
12.0389,7.818028,11.34988,2.607124,4.976734,4.2285369
12.53546,7.898782,11.93743,2.787477,4.442651,7.3214823
12.90961,8.19864,11.98742,3.205588,4.820282,4.5844466
12.76482,8.066522,11.41829,2.871302,4.941642,5.5991565
12.55838,8.094073,11.49651,2.958549,4.976734,7.9196758
12.0419,7.700748,11.15398,2.4681,4.584968,6.8017063
12.61185,8.275886,11.32963,3.033991,4.94876,5.3298428
12.88468,8.153925,11.84754,3.150169,5.278115,7.399366
12.28761,7.908387,11.3331,2.506342,4.584968,6.8860564
12.84549,8.423322,11.85281,3.18387,5.26269,5.8558357
12.82297,8.277412,12.23373,3.123686,5.220356,8.7456643
12.72394,7.899895,11.95282,3.033028,4.94876,7.1776893
12.0591,7.74327,11.12357,2.550226,5.01728,10.534029
13.08695,8.016977,11.93079,3.403195,5.620401,5.3678194
12.71264,8.216088,11.75894,3.262701,4.875197,10.473856
13.00655,8.206038,12.04288,3.314186,5.288267,7.13603
12.20653,7.941651,11.2147,2.623218,4.770685,8.7263308
11.45188,7.438384,10.6871,2.21266,4.584968,5.1226628
12.88374,7.903965,12.1953,3.442659,5.583496,9.7608604
12.18101,7.877397,11.31609,2.525729,5.049856,5.7097613
11.9579,7.670429,11.3187,2.217027,4.564348,5.1835376
12.56957,7.87093,11.29004,2.895359,4.927254,5.3456816
12.44774,7.997999,11.12857,2.800325,4.941642,6.7083651
11.52876,7.705263,10.8505,2.234306,4.727388,4.9209663
12.52817,7.881182,11.4378,2.791778,4.804021,6.6550831
12.72631,7.889459,11.92267,3.348148,5.455321,5.9401194
12.54691,7.585789,11.76835,2.793616,4.990433,5.7284483
13.28553,8.551595,12.29058,3.638901,5.966147,9.9032722
12.73371,8.004031,11.55879,2.903617,4.70048,6.7166661
12.32203,7.731053,11.58368,2.756205,4.70048,4.6392757
12.48563,7.930206,11.2064,2.832625,4.927254,7.1527159
12.7043,7.982416,11.26461,2.960623,4.934474,6.0217742
12.91227,8.252967,11.816,3.37827,5.170484,7.2798239
12.31116,7.693481,10.97796,2.48574,4.983607,5.4408125
12.79421,8.25062,11.82094,3.12676,5.153292,7.9845651
12.83102,8.383662,11.97929,3.353057,5.31812,5.3080332
13.17083,8.108624,12.17763,3.553632,5.877736,7.0673415
13.23663,8.170186,12.22885,3.420019,5.986452,4.897668
12.34097,8.217439,11.9327,3.129826,5.624018,5.5136921
12.84154,8.083328,11.75614,3.306154,5.17615,7.4351425
12.99156,8.13564,11.91912,3.485232,5.717028,5.7584937
12.83073,7.816417,11.65733,2.973487,5.484797,6.0108312
13.1501,8.36637,11.98958,3.437208,5.529429,6.7972631
12.97631,8.374016,12.07065,3.426865,5.575949,6.011847
12.45018,8.087026,11.35721,2.794839,5.209486,7.22849
11.98042,8.234035,11.28604,2.636196,4.820282,4.9889347
12.98508,8.259459,11.64619,3.157851,5.209486,5.6087331
12.95846,8.187856,11.98989,3.243373,5.793014,7.2787354
12.23902,8.193677,11.33423,2.656757,5.135798,13.253795
12.78657,8.420682,11.91751,3.315639,5.32301,5.3191603
13.26459,8.309923,12.0054,3.444576,5.793014,6.2135014
12.66206,8.320691,11.6413,2.997231,4.890349,6.1315245
13.1178,8.618124,12.10298,3.357594,5.293305,6.1505623
13.29758,8.319961,12.24703,3.501947,5.231109,5.5766251
12.78656,8.219865,11.44059,3.036394,5.220356,5.9365687
13.1893,8.474703,12.27921,3.435921,5.572154,7.173323
12.88255,7.818832,11.93177,3.05164,5.549076,6.5358882
12.72248,8.352554,11.63713,3.168004,5.01728,6.1067417
12.48096,7.829233,11.41905,2.929058,4.976734,7.300557
12.90673,8.420902,11.8146,3.271468,5.278115,4.8954025
12.93713,8.141772,11.61583,3.07084,5.389072,4.6472217
12.75937,8.196988,11.8245,3.034472,4.828314,7.2234101
13.05301,8.501063,11.82913,3.360723,5.356586,6.995499
12.78091,7.959276,11.34901,2.946542,5.181784,6.6260725
12.72783,8.384119,11.58464,2.944965,5.438079,7.2254361
12.93493,8.265136,11.73407,3.094672,5.393628,6.493058
12.52875,7.946264,11.28524,2.869602,5.204007,6.8608708
12.31588,8.277666,11.21507,2.790551,4.969813,5.4440986
12.9083,7.763021,11.77886,3.12676,5.379897,6.5043692
12.24407,8.011024,11.09756,2.56418,5.056246,5.9261975
13.36193,8.326517,12.2099,3.458837,5.416101,6.3057734
12.82307,8.164795,10.97276,3.095125,5.361292,5.6118337
12.45943,8.1545,11.43306,2.926918,5.214936,6.2363623
12.56738,8.276903,11.3991,2.947067,5.517453,7.9119564
12.9319,8.058328,11.76064,3.329343,5.525453,7.1603874
12.78138,8.123261,11.31305,3.020913,5.31812,5.7539436
12.43395,7.833204,11.70588,2.810005,5.288267,7.1802338
12.91396,7.924434,11.49213,3.356897,5.549076,6.9447884
12.70088,7.927685,11.66371,3.14329,5.549076,6.4104455
12.7263,8.219865,11.33624,2.872434,4.890349,6.1422209
12.50705,7.859027,11.54454,2.915064,4.867535,5.5230334
12.59238,8.174421,11.39066,2.899221,5.442418,7.6355317
12.48341,7.977968,11.37055,2.87976,5.135798,7.0994994
12.84463,8.040447,11.64713,3.092859,5.135798,5.2151537
12.77371,8.045909,11.68755,2.959587,5.135798,6.0803121
12.3843,8.289539,11.36649,2.885917,5.288267,12.795243
12.65482,8.159375,11.4222,2.936513,4.812184,5.1365912
12.42502,8.03106,11.16146,3.006672,5.147494,9.1974434
12.5823,8.13564,11.37003,3.06152,4.927254,7.4284569
12.96251,7.951207,11.57699,3.219676,5.513429,5.6245066
12.58784,8.075893,11.1892,2.910719,5.153292,6.4563841
13.1576,7.955074,12.07577,3.458837,5.332719,6.5617196
12.91442,8.254008,12.12918,3.174297,5.594711,8.127785
12.61395,7.995644,11.76798,2.890372,5.192957,5.0068261
